Temp./C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
    27.47324,    0.18000, 3.7704e-002,3.74182,1
    27.46841,    0.18167, 3.7948e-002,3.74182,1
    27.46359,    0.18333, 3.8212e-002,3.74182,1
    27.45877,    0.18500, 3.8456e-002,3.74182,1
    27.45388,    0.18667, 3.8721e-002,3.74182,1
    27.44900,    0.18833, 3.8945e-002,3.74182,1
    27.44406,    0.19000, 3.9168e-002,3.74182,1
    27.43924,    0.19167, 3.9412e-002,3.74182,1
    27.43424,    0.19333, 3.9616e-002,3.74182,1
    27.42912,    0.19500, 3.9839e-002,3.74182,1
    27.42412,    0.19667, 4.0104e-002,3.74182,1
    27.41906,    0.19833, 4.0368e-002,3.74182,1
    27.41394,    0.20000, 4.0612e-002,3.74182,1
    27.40882,    0.20167, 4.0856e-002,3.74181,1
    27.40371,    0.20333, 4.1059e-002,3.74181,1
    27.39871,    0.20500, 4.1263e-002,3.74181,1
    27.39371,    0.20667, 4.1527e-002,3.74181,1
    27.38859,    0.20833, 4.1751e-002,3.74181,1
    27.38359,    0.21000, 4.1974e-002,3.74181,1
    27.37853,    0.21167, 4.2198e-002,3.74181,1
    27.37341,    0.21333, 4.2401e-002,3.74181,1
    27.36835,    0.21500, 4.2442e-002,3.74181,1
    27.36324,    0.21667, 4.2543e-002,3.74181,1
    27.35812,    0.21833, 4.2685e-002,3.74181,1
    27.35288,    0.22000, 4.2929e-002,3.74181,1
    27.34782,    0.22167, 4.3316e-002,3.74181,1
    27.34282,    0.22333, 4.3580e-002,3.74181,1
    27.33771,    0.22500, 4.3885e-002,3.74181,1
    27.33259,    0.22667, 4.4170e-002,3.74181,1
    27.32747,    0.22833, 4.4414e-002,3.74181,1
    27.32235,    0.23000, 4.4638e-002,3.74181,1
    27.31718,    0.23167, 4.4861e-002,3.74181,1
    27.31194,    0.23333, 4.5146e-002,3.74181,1
    27.30665,    0.23500, 4.5451e-002,3.74181,1
    27.30147,    0.23667, 4.5736e-002,3.74181,1
    27.29624,    0.23833, 4.5980e-002,3.74181,1
    27.29106,    0.24000, 4.6224e-002,3.74181,1
    27.28594,    0.24167, 4.6468e-002,3.74181,1
    27.28082,    0.24333, 4.6692e-002,3.74181,1
    27.27576,    0.24500, 4.6895e-002,3.74181,1
    27.27065,    0.24667, 4.6895e-002,3.74181,1
    27.26559,    0.24833, 4.6976e-002,3.74181,1
    27.26041,    0.25000, 4.7118e-002,3.74181,1
    27.25518,    0.25167, 4.7301e-002,3.74181,1
    27.24994,    0.25333, 4.7484e-002,3.74181,1
    27.24471,    0.25500, 4.7667e-002,3.74181,1
    27.23947,    0.25667, 4.8114e-002,3.74181,1
    27.23418,    0.25833, 4.8420e-002,3.74181,1
    27.22888,    0.26000, 4.8684e-002,3.74181,1
    27.22365,    0.26167, 4.8948e-002,3.74181,1
    27.21835,    0.26333, 4.9253e-002,3.74181,1
    27.21288,    0.26500, 4.9518e-002,3.74181,1
    27.20759,    0.26667, 4.9762e-002,3.74181,1
    27.20229,    0.26833, 5.0026e-002,3.74181,1
    27.19688,    0.27000, 5.0270e-002,3.74181,1
    27.19141,    0.27167, 5.0514e-002,3.74181,1
    27.18588,    0.27333, 5.0717e-002,3.74181,1
    27.18041,    0.27500, 5.0921e-002,3.74181,1
    27.17494,    0.27667, 5.1124e-002,3.74181,1
    27.16947,    0.27833, 5.1368e-002,3.74180,1
    27.16406,    0.28000, 5.1592e-002,3.74180,1
    27.15865,    0.28167, 5.1856e-002,3.74180,1
    27.15318,    0.28333, 5.2120e-002,3.74180,1
    27.14771,    0.28500, 5.2344e-002,3.74180,1
    27.14229,    0.28667, 5.2567e-002,3.74180,1
    27.13682,    0.28833, 5.2750e-002,3.74180,1
    27.13124,    0.29000, 5.2954e-002,3.74180,1
    27.12565,    0.29167, 5.3177e-002,3.74180,1
    27.12012,    0.29333, 5.3442e-002,3.74180,1
    27.11435,    0.29500, 5.3665e-002,3.74180,1
    27.10865,    0.29667, 5.3930e-002,3.74180,1
    27.10306,    0.29833, 5.4194e-002,3.74180,1
    27.09753,    0.30000, 5.4438e-002,3.74180,1
    27.09194,    0.30167, 5.4641e-002,3.74180,1
    27.08629,    0.30333, 5.4865e-002,3.74180,1
    27.08065,    0.30500, 5.5088e-002,3.74180,1
    27.07500,    0.30667, 5.5271e-002,3.74180,1
    27.06935,    0.30833, 5.5474e-002,3.74180,1
    27.06371,    0.31000, 5.5698e-002,3.74180,1
    27.05800,    0.31167, 5.5922e-002,3.74180,1
    27.05235,    0.31333, 5.6125e-002,3.74180,1
    27.04671,    0.31500, 5.6328e-002,3.74180,1
    27.04106,    0.31667, 5.6511e-002,3.74180,1
    27.03541,    0.31833, 5.6694e-002,3.74180,1
    27.02976,    0.32000, 5.6918e-002,3.74180,1
    27.02412,    0.32167, 5.7121e-002,3.74180,1
    27.01853,    0.32333, 5.7385e-002,3.74180,1
    27.01288,    0.32500, 5.7649e-002,3.74180,1
    27.00712,    0.32667, 5.7894e-002,3.74180,1
    27.00129,    0.32833, 5.8138e-002,3.74180,1
    26.99553,    0.33000, 5.8361e-002,3.74180,1
    26.98976,    0.33167, 5.8585e-002,3.74180,1
    26.98394,    0.33333, 5.8808e-002,3.74180,1
    26.97812,    0.33500, 5.9012e-002,3.74180,1
    26.97224,    0.33667, 5.9215e-002,3.74180,1
    26.96635,    0.33833, 5.9418e-002,3.74180,1
    26.96059,    0.34000, 5.9621e-002,3.74180,1
    26.95476,    0.34167, 5.9824e-002,3.74180,1
    26.94888,    0.34333, 6.0028e-002,3.74179,1
    26.94294,    0.34500, 6.0231e-002,3.74179,1
    26.93706,    0.34667, 6.0434e-002,3.74179,1
    26.93112,    0.34833, 6.0637e-002,3.74179,1
    26.92518,    0.35000, 6.0841e-002,3.74179,1
    26.91929,    0.35167, 6.1084e-002,3.74179,1
    26.91335,    0.35333, 6.1329e-002,3.74179,1
    26.90735,    0.35500, 6.1572e-002,3.74179,1
    26.90129,    0.35667, 6.1776e-002,3.74179,1
    26.89529,    0.35833, 6.2020e-002,3.74179,1
    26.88929,    0.36000, 6.2264e-002,3.74179,1
    26.88324,    0.36167, 6.2507e-002,3.74179,1
    26.87718,    0.36333, 6.2731e-002,3.74179,1
    26.87112,    0.36500, 6.2955e-002,3.74179,1
    26.86506,    0.36667, 6.3199e-002,3.74179,1
    26.85888,    0.36833, 6.3443e-002,3.74179,1
    26.85282,    0.37000, 6.3666e-002,3.74179,1
    26.84671,    0.37167, 6.3869e-002,3.74179,1
    26.84065,    0.37333, 6.4052e-002,3.74179,1
    26.83459,    0.37500, 6.4235e-002,3.74179,1
    26.82859,    0.37667, 6.4459e-002,3.74179,1
    26.82253,    0.37833, 6.4641e-002,3.74179,1
    26.81635,    0.38000, 6.4845e-002,3.74179,1
    26.81012,    0.38167, 6.5048e-002,3.74179,1
    26.80394,    0.38333, 6.5251e-002,3.74179,1
    26.79782,    0.38500, 6.5475e-002,3.74179,1
    26.79165,    0.38667, 6.5658e-002,3.74179,1
    26.78547,    0.38833, 6.5840e-002,3.74179,1
    26.77935,    0.39000, 6.6064e-002,3.74179,1
    26.77329,    0.39167, 6.6288e-002,3.74179,1
    26.76712,    0.39333, 6.6491e-002,3.74179,1
    26.76088,    0.39500, 6.6673e-002,3.74179,1
    26.75476,    0.39667, 6.6897e-002,3.74179,1
    26.74853,    0.39833, 6.7100e-002,3.74179,1
    26.74235,    0.40000, 6.7324e-002,3.74178,1
    26.73612,    0.40167, 6.7527e-002,3.74178,1
    26.72976,    0.40333, 6.7730e-002,3.74178,1
    26.72341,    0.40500, 6.7974e-002,3.74178,1
    26.71718,    0.40667, 6.8198e-002,3.74178,1
